RelativeStrength,CmeRadius,DeltaOrientation,ApexCoeff,Helicity,bgRunIdx,realization
0.80375,0.78375,12.824999999999996,1.0053125,-1.0,11.0,[1]
1.47125,0.66875,-31.725,0.9565625,-1.0,15.0,[1]
1.98875,0.56125,35.325,1.1928125,-1.0,9.0,[4]
0.74375,0.35875,-2.4750000000000014,0.9471875,1.0,20.0,[6]
1.55375,0.78125,-29.025,1.1609375,1.0,18.0,[1]
0.67625,0.67625,39.825,1.2153125,1.0,11.0,[1]
1.47875,0.77625,-18.225,1.0165625,1.0,16.0,[1]
0.66125,0.57125,-33.075,0.9715625,-1.0,11.0,[1]
1.56875,0.37124999999999997,-42.075,1.1684375,1.0,20.0,[6]
1.53125,0.42374999999999996,38.474999999999994,1.1290624999999999,-1.0,15.0,[1]
1.6062500000000002,0.62125,-3.8249999999999957,1.1421875,-1.0,11.0,[1]
1.5462500000000001,0.33125,29.025000000000006,1.0034375,-1.0,20.0,[6]
1.33625,0.53375,-25.425,0.9734375,1.0,18.0,[1]
1.87625,0.36624999999999996,35.77499999999999,1.0259375,1.0,19.0,[5]
1.09625,0.65625,18.675000000000004,0.8834375,1.0,16.0,[1]
1.1412499999999999,0.78625,6.075000000000003,1.0559375,1.0,15.0,[1]
1.56125,0.54375,1.5749999999999957,1.1871875,-1.0,17.0,[5]
1.59125,0.52875,-11.024999999999999,0.9303125,1.0,9.0,[4]
0.96875,0.33875,-26.775,1.1253125,1.0,14.0,[1]
1.62125,0.56875,-24.975,1.2021875,1.0,19.0,[5]
1.57625,0.46625,-42.975,0.9678125,-1.0,16.0,[1]
1.53875,0.6487499999999999,-26.325,1.0465625,-1.0,9.0,[4]
0.98375,0.58875,0.6749999999999972,1.1159375,1.0,9.0,[4]
1.69625,0.6187499999999999,11.474999999999994,1.2246875,1.0,18.0,[1]
1.62875,0.30874999999999997,-35.775,1.1571875,-1.0,15.0,[1]
0.6012500000000001,0.65375,13.274999999999999,1.2471875,-1.0,9.0,[4]
1.34375,0.48875,17.325000000000003,1.0221875,1.0,20.0,[6]
1.58375,0.48375,43.875,0.8909375,1.0,17.0,[5]
1.67375,0.33625,-6.524999999999999,1.0428125,-1.0,17.0,[5]
1.81625,0.5562499999999999,23.174999999999997,0.8778125,-1.0,13.0,[4]
1.95125,0.70625,-41.175,1.0203125,1.0,18.0,[1]
0.88625,0.40375,27.674999999999997,0.8890625,-1.0,11.0,[1]
1.7037499999999999,0.76125,0.22499999999999432,1.2040625,1.0,13.0,[4]
1.71125,0.41125,-22.275,0.9003125,1.0,20.0,[6]
1.20875,0.47125,38.025000000000006,0.9040625,1.0,13.0,[4]
1.7937500000000002,0.49624999999999997,-39.825,1.0671875,1.0,15.0,[1]
1.63625,0.46875,15.975000000000001,1.1665625,1.0,9.0,[4]
1.74125,0.60875,-0.22500000000000142,1.0109375,-1.0,15.0,[1]
0.58625,0.75625,-10.125,1.0784375,1.0,18.0,[1]
0.78125,0.7537499999999999,25.875,1.1065625,-1.0,9.0,[4]
1.82375,0.69375,-12.825000000000003,1.2490625,-1.0,18.0,[1]
1.99625,0.43125,3.8249999999999957,1.0746875,-1.0,16.0,[1]
1.75625,0.47624999999999995,7.875,1.1271875,1.0,19.0,[5]
1.7862500000000001,0.64375,44.325,0.9490625,-1.0,18.0,[1]
